Symbol,LTP,BidPrice,BidQty,AskPrice,AskQty,TotalBuyQty,TotalSellQty,LiquidityScore,SMMA20,SMMA120,Signal,Current_LTQ,LTQ_2min_avg,LTQ_5min_avg,LTQ_Spike_Ratio,ETQ_5min,ETQ_20min,ETQ_60min,Average_LTP_20min,Average_LTP_60min,BidAsk_Imbalance,Volume,Return_1,Return_5,ML_Probability,ML_Confidence,ML_Decision,AI_Reason,base_symbol,token,symbol,name,exch_seg
NSE:ZENSARTECH-EQ,495.7,495.3,47,495.55,1,98916,178444,277360,494.72,499.55,NONE,10,10.0,10.0,1.0,10,10,10,495.7,495.7,0.9583,318209,0,0,0.6997,69.97,ACCEPT,No new SMMA crossover,ZENSARTECH,1076,ZENSARTECH-EQ,ZENSARTECH,NSE
NSE:POCL-EQ,490.05,489.25,22,489.75,8,50135,104383,154518,490.68,492.63,NONE,8,8.0,8.0,1.0,8,8,8,490.05,490.05,0.4667,111297,0,0,0.6854,68.54,ACCEPT,No new SMMA crossover,POCL,14385,POCL-EQ,POCL,NSE
NSE:EXIDEIND-EQ,486.4,486.35,2835,486.4,4750,116959,643774,760733,487.71,485.28,NONE,1,1.0,1.0,1.0,1,1,1,486.4,486.4,-0.2525,2444557,0,0,0.1334,13.34,AVOID,No new SMMA crossover,EXIDEIND,676,EXIDEIND-EQ,EXIDEIND,NSE
NSE:OIL-EQ,471.3,471.3,3736,471.35,4,386564,541645,928209,470.66,463.31,NONE,12,12.0,12.0,1.0,12,12,12,471.3,471.3,0.9979,1746122,0,0,0.5756,57.56,ACCEPT,No new SMMA crossover,OIL,17438,OIL-EQ,OIL,NSE
NSE:VAML-EQ,466.95,466.95,543,467.0,5491,603726,919365,1523091,468.09,472.15,NONE,24,24.0,24.0,1.0,24,24,24,466.95,466.95,-0.82,6813856,0,0,0.2048,20.48,AVOID,No new SMMA crossover,VAML,750174,VAML-EQ,VAML,NSE
NSE:TRANSRAILL-EQ,465.8,465.7,20,465.85,172,71029,121820,192849,468.11,475.95,NONE,24,24.0,24.0,1.0,24,24,24,465.8,465.8,-0.7917,195842,0,0,0.5544,55.44,ACCEPT,No new SMMA crossover,TRANSRAILL,28714,TRANSRAILL-EQ,TRANSRAILL,NSE
NSE:BALUFORGE-EQ,457.15,457.15,67,457.6,4,52407,132502,184909,458.09,459.54,NONE,12,12.0,12.0,1.0,12,12,12,457.15,457.15,0.8873,143732,0,0,0.6636,66.36,ACCEPT,No new SMMA crossover,BALUFORGE,23607,BALUFORGE-EQ,BALUFORGE,NSE
NSE:TMCV-EQ,456.6,456.5,323,456.6,776,296220,680637,976857,453.53,451.81,NONE,7,7.0,7.0,1.0,7,7,7,456.6,456.6,-0.4122,4917580,0,0,0.1507,15.07,AVOID,No new SMMA crossover,TMCV,759782,TMCV-EQ,TMCV,NSE
NSE:DYCL-EQ,453.2,453.25,11,453.5,1,70514,242248,312762,451.42,430.09,NONE,3,3.0,3.0,1.0,3,3,3,453.2,453.2,0.8333,1246444,0,0,0.5899,58.99,ACCEPT,No new SMMA crossover,DYCL,10417,DYCL-EQ,DYCL,NSE
NSE:NRBBEARING-EQ,451.45,451.15,25,451.45,403,41798,116562,158360,452.16,458.48,NONE,31,31.0,31.0,1.0,31,31,31,451.45,451.45,-0.8832,247011,0,0,0.4502,45.02,AVOID,No new SMMA crossover,NRBBEARING,7553,NRBBEARING-EQ,NRBBEARING,NSE
