token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
14747,011NSETEST-EQ,011NSETEST,,-1.000000,1,,NSE,5.000000
14751,021NSETEST-EQ,021NSETEST,,-1.000000,1,,NSE,5.000000
14753,031NSETEST-EQ,031NSETEST,,-1.000000,1,,NSE,5.000000
14755,041NSETEST-EQ,041NSETEST,,-1.000000,1,,NSE,5.000000
14758,051NSETEST-EQ,051NSETEST,,-1.000000,1,,NSE,5.000000
14762,061NSETEST-EQ,061NSETEST,,-1.000000,1,,NSE,5.000000
14764,071NSETEST-EQ,071NSETEST,,-1.000000,1,,NSE,5.000000
14767,081NSETEST-EQ,081NSETEST,,-1.000000,1,,NSE,5.000000
14769,091NSETEST-EQ,091NSETEST,,-1.000000,1,,NSE,5.000000
14772,101NSETEST-EQ,101NSETEST,,-1.000000,1,,NSE,5.000000
14774,111NSETEST-EQ,111NSETEST,,-1.000000,1,,NSE,5.000000
12841,11NSETEST-EQ,11NSETEST,,-1.000000,1,,NSE,5.000000
14777,121NSETEST-EQ,121NSETEST,,-1.000000,1,,NSE,5.000000
14778,131NSETEST-EQ,131NSETEST,,-1.000000,1,,NSE,5.000000
14781,141NSETEST-EQ,141NSETEST,,-1.000000,1,,NSE,5.000000
14782,151NSETEST-EQ,151NSETEST,,-1.000000,1,,NSE,5.000000
14784,161NSETEST-EQ,161NSETEST,,-1.000000,1,,NSE,5.000000
23446,171NSETEST-EQ,171NSETEST,,-1.000000,1,,NSE,5.000000
23447,181NSETEST-EQ,181NSETEST,,-1.000000,1,,NSE,5.000000
16921,20MICRONS-EQ,20MICRONS,,-1.000000,1,,NSE,1.000000
4,21STCENMGM-EQ,21STCENMGM,,-1.000000,1,,NSE,1.000000
13061,360ONE-EQ,360ONE,,-1.000000,1,,NSE,10.000000
762518,3BBLACKBIO-EQ,3BBLACKBIO,,-1.000000,1,,NSE,10.000000
474,3MINDIA-EQ,3MINDIA,,-1.000000,1,,NSE,500.000000
2595,3PLAND-EQ,3PLAND,,-1.000000,1,,NSE,1.000000
445,5PAISA-EQ,5PAISA,,-1.000000,1,,NSE,5.000000
11868,63MOONS-EQ,63MOONS,,-1.000000,1,,NSE,5.000000
20906,A2ZINFRA-EQ,A2ZINFRA,,-1.000000,1,,NSE,1.000000
12533,AAATECH-EQ,AAATECH,,-1.000000,1,,NSE,1.000000
23729,AADHARHFC-EQ,AADHARHFC,,-1.000000,1,,NSE,5.000000
235,AAKASH-EQ,AAKASH,,-1.000000,1,,NSE,1.000000
5245,AAREYDRUGS-EQ,AAREYDRUGS,,-1.000000,1,,NSE,1.000000
761821,AARNAV-EQ,AARNAV,,-1.000000,1,,NSE,1.000000
1030,AARON-EQ,AARON,,-1.000000,1,,NSE,1.000000
4481,AARTIDRUGS-EQ,AARTIDRUGS,,-1.000000,1,,NSE,5.000000
7,AARTIIND-EQ,AARTIIND,,-1.000000,1,,NSE,5.000000
13868,AARTIPHARM-EQ,AARTIPHARM,,-1.000000,1,,NSE,5.000000
19073,AARVI-EQ,AARVI,,-1.000000,1,,NSE,1.000000
763800,AASTHA-EQ,AASTHA,,-1.000000,1,,NSE,1.000000
5385,AAVAS-EQ,AAVAS,,-1.000000,1,,NSE,10.000000
762523,ABANSENT-EQ,ABANSENT,,-1.000000,1,,NSE,1.000000
13,ABB-EQ,ABB,,-1.000000,1,,NSE,50.000000
17903,ABBOTINDIA-EQ,ABBOTINDIA,,-1.000000,1,,NSE,500.000000
21614,ABCAPITAL-EQ,ABCAPITAL,,-1.000000,1,,NSE,5.000000
759130,ABCOTS-EQ,ABCOTS,,-1.000000,1,,NSE,1.000000
24308,ABDL-EQ,ABDL,,-1.000000,1,,NSE,5.000000
30108,ABFRL-EQ,ABFRL,,-1.000000,1,,NSE,1.000000
24404,ABGSEC-EQ,ABGSEC,,-1.000000,1,,NSE,1.000000
27020,ABINFRA-EQ,ABINFRA,,-1.000000,1,,NSE,1.000000
756843,ABLBL-EQ,ABLBL,,-1.000000,1,,NSE,1.000000
5549,ABMINTLLTD-EQ,ABMINTLLTD,,-1.000000,1,,NSE,1.000000
762528,ABMKNO-EQ,ABMKNO,,-1.000000,1,,NSE,1.000000
625,ABREL-EQ,ABREL,,-1.000000,1,,NSE,10.000000
760247,ABSL10BANK-EQ,ABSL10BANK,,-1.000000,1,,NSE,1.000000
6018,ABSLAMC-EQ,ABSLAMC,,-1.000000,1,,NSE,10.000000
13987,ABSLBANETF-EQ,ABSLBANETF,,-1.000000,1,,NSE,1.000000
14518,ABSLLIQUID-EQ,ABSLLIQUID,,-1.000000,1,,NSE,1.000000
761066,ABSLMSCIN-EQ,ABSLMSCIN,,-1.000000,1,,NSE,1.000000
7339,ABSLNN50ET-EQ,ABSLNN50ET,,-1.000000,1,,NSE,1.000000
23806,ABSLPSE-EQ,ABSLPSE,,-1.000000,1,,NSE,1.000000
